vector,bit_lsb,bit_msb,width,wrapper_field,struct_name,signal,type_name
po,0,0,1,out,PTW_out_t,out.ptw_write_valid,wire1_t
po,1,1,1,out,PTW_out_t,out.ptw_write_dest,wire1_t
po,2,11,10,out,PTW_out_t,out.ptw_write_vpn1,wire10_t
po,12,21,10,out,PTW_out_t,out.ptw_write_vpn0,wire10_t
po,22,33,12,out,PTW_out_t,out.ptw_write_ppn1,wire12_t
po,34,43,10,out,PTW_out_t,out.ptw_write_ppn0,wire10_t
po,44,52,9,out,PTW_out_t,out.ptw_write_asid,wire9_t
po,53,53,1,out,PTW_out_t,out.ptw_write_megapage,wire1_t
po,54,54,1,out,PTW_out_t,out.ptw_write_dirty,wire1_t
po,55,55,1,out,PTW_out_t,out.ptw_write_accessed,wire1_t
po,56,56,1,out,PTW_out_t,out.ptw_write_global,wire1_t
po,57,57,1,out,PTW_out_t,out.ptw_write_user,wire1_t
po,58,58,1,out,PTW_out_t,out.ptw_write_execute,wire1_t
po,59,59,1,out,PTW_out_t,out.ptw_write_write,wire1_t
po,60,60,1,out,PTW_out_t,out.ptw_write_read,wire1_t
po,61,61,1,out,PTW_out_t,out.ptw_write_valid_bit,wire1_t
po,62,62,1,out,PTW_out_t,out.ptw_write_pte_valid,wire1_t
po,63,63,1,out,PTW_out_t,out.dcache_req_valid,wire1_t
po,64,95,32,out,PTW_out_t,out.dcache_req_paddr,wire32_t
po,96,96,1,out,PTW_out_t,out.dcache_resp_ready,wire1_t
po,97,97,1,out,PTW_out_t,out.mem_req_valid,wire1_t
po,98,129,32,out,PTW_out_t,out.mem_req_paddr,wire32_t
po,130,130,1,out,PTW_out_t,out.mem_resp_ready,wire1_t
po,131,133,3,reg_write,PTW_regs_t,reg_write.state_r,reg3_t
po,134,134,1,reg_write,PTW_regs_t,reg_write.dcache_state_r,reg1_t
po,135,144,10,reg_write,PTW_regs_t,reg_write.vpn1_r,reg10_t
po,145,154,10,reg_write,PTW_regs_t,reg_write.vpn0_r,reg10_t
po,155,156,2,reg_write,PTW_regs_t,reg_write.op_type_r,reg2_t
po,157,188,32,reg_write,PTW_regs_t,reg_write.pte1_raw_r,reg32_t
po,189,220,32,reg_write,PTW_regs_t,reg_write.pte2_raw_r,reg32_t
po,221,221,1,table_write,PTW_table_write_t,table_write.we,wire1_t
po,222,222,1,table_write,PTW_table_write_t,table_write.dest,wire1_t
po,223,232,10,table_write,PTW_table_write_t,table_write.vpn1,wire10_t
po,233,242,10,table_write,PTW_table_write_t,table_write.vpn0,wire10_t
po,243,254,12,table_write,PTW_table_write_t,table_write.ppn1,wire12_t
po,255,264,10,table_write,PTW_table_write_t,table_write.ppn0,wire10_t
po,265,273,9,table_write,PTW_table_write_t,table_write.asid,wire9_t
po,274,274,1,table_write,PTW_table_write_t,table_write.megapage,wire1_t
po,275,275,1,table_write,PTW_table_write_t,table_write.dirty,wire1_t
po,276,276,1,table_write,PTW_table_write_t,table_write.accessed,wire1_t
po,277,277,1,table_write,PTW_table_write_t,table_write.global,wire1_t
po,278,278,1,table_write,PTW_table_write_t,table_write.user,wire1_t
po,279,279,1,table_write,PTW_table_write_t,table_write.execute,wire1_t
po,280,280,1,table_write,PTW_table_write_t,table_write.write,wire1_t
po,281,281,1,table_write,PTW_table_write_t,table_write.read,wire1_t
po,282,282,1,table_write,PTW_table_write_t,table_write.valid_bit,wire1_t
po,283,283,1,table_write,PTW_table_write_t,table_write.pte_valid,wire1_t
