vector,bit_lsb,bit_msb,width,wrapper_field,struct_name,signal,type_name
pi,0,0,1,in,TLB_in_t,in.is_itlb,wire1_t
pi,1,9,9,in,TLB_in_t,in.satp_asid,wire9_t
pi,10,10,1,in,TLB_in_t,in.ifu_req_valid,wire1_t
pi,11,30,20,in,TLB_in_t,in.ifu_req_vtag,wire20_t
pi,31,32,2,in,TLB_in_t,in.ifu_req_op_type,wire2_t
pi,33,33,1,in,TLB_in_t,in.lsu_req_valid[0],wire1_t
pi,34,34,1,in,TLB_in_t,in.lsu_req_valid[1],wire1_t
pi,35,35,1,in,TLB_in_t,in.lsu_req_valid[2],wire1_t
pi,36,36,1,in,TLB_in_t,in.lsu_req_valid[3],wire1_t
pi,37,56,20,in,TLB_in_t,in.lsu_req_vtag[0],wire20_t
pi,57,76,20,in,TLB_in_t,in.lsu_req_vtag[1],wire20_t
pi,77,96,20,in,TLB_in_t,in.lsu_req_vtag[2],wire20_t
pi,97,116,20,in,TLB_in_t,in.lsu_req_vtag[3],wire20_t
pi,117,118,2,in,TLB_in_t,in.lsu_req_op_type[0],wire2_t
pi,119,120,2,in,TLB_in_t,in.lsu_req_op_type[1],wire2_t
pi,121,122,2,in,TLB_in_t,in.lsu_req_op_type[2],wire2_t
pi,123,124,2,in,TLB_in_t,in.lsu_req_op_type[3],wire2_t
pi,125,125,1,in,TLB_in_t,in.flush_valid,wire1_t
pi,126,145,20,in,TLB_in_t,in.flush_vpn,wire20_t
pi,146,154,9,in,TLB_in_t,in.flush_asid,wire9_t
pi,155,155,1,in,TLB_in_t,in.ptw_write_valid,wire1_t
pi,156,156,1,in,TLB_in_t,in.ptw_write_dest,wire1_t
pi,157,166,10,in,TLB_in_t,in.ptw_write_vpn1,wire10_t
pi,167,176,10,in,TLB_in_t,in.ptw_write_vpn0,wire10_t
pi,177,188,12,in,TLB_in_t,in.ptw_write_ppn1,wire12_t
pi,189,198,10,in,TLB_in_t,in.ptw_write_ppn0,wire10_t
pi,199,207,9,in,TLB_in_t,in.ptw_write_asid,wire9_t
pi,208,208,1,in,TLB_in_t,in.ptw_write_megapage,wire1_t
pi,209,209,1,in,TLB_in_t,in.ptw_write_dirty,wire1_t
pi,210,210,1,in,TLB_in_t,in.ptw_write_accessed,wire1_t
pi,211,211,1,in,TLB_in_t,in.ptw_write_global,wire1_t
pi,212,212,1,in,TLB_in_t,in.ptw_write_user,wire1_t
pi,213,213,1,in,TLB_in_t,in.ptw_write_execute,wire1_t
pi,214,214,1,in,TLB_in_t,in.ptw_write_write,wire1_t
pi,215,215,1,in,TLB_in_t,in.ptw_write_read,wire1_t
pi,216,216,1,in,TLB_in_t,in.ptw_write_valid_bit,wire1_t
pi,217,217,1,in,TLB_in_t,in.ptw_write_pte_valid,wire1_t
pi,218,218,1,regs,TLB_regs_t,regs.entry_pte_valid[0],reg1_t
pi,219,219,1,regs,TLB_regs_t,regs.entry_pte_valid[1],reg1_t
pi,220,220,1,regs,TLB_regs_t,regs.entry_pte_valid[2],reg1_t
pi,221,221,1,regs,TLB_regs_t,regs.entry_pte_valid[3],reg1_t
pi,222,222,1,regs,TLB_regs_t,regs.entry_pte_valid[4],reg1_t
pi,223,223,1,regs,TLB_regs_t,regs.entry_pte_valid[5],reg1_t
pi,224,224,1,regs,TLB_regs_t,regs.entry_pte_valid[6],reg1_t
pi,225,225,1,regs,TLB_regs_t,regs.entry_pte_valid[7],reg1_t
pi,226,226,1,regs,TLB_regs_t,regs.entry_pte_valid[8],reg1_t
pi,227,227,1,regs,TLB_regs_t,regs.entry_pte_valid[9],reg1_t
pi,228,228,1,regs,TLB_regs_t,regs.entry_pte_valid[10],reg1_t
pi,229,229,1,regs,TLB_regs_t,regs.entry_pte_valid[11],reg1_t
pi,230,230,1,regs,TLB_regs_t,regs.entry_pte_valid[12],reg1_t
pi,231,231,1,regs,TLB_regs_t,regs.entry_pte_valid[13],reg1_t
pi,232,232,1,regs,TLB_regs_t,regs.entry_pte_valid[14],reg1_t
pi,233,233,1,regs,TLB_regs_t,regs.entry_pte_valid[15],reg1_t
pi,234,234,1,regs,TLB_regs_t,regs.entry_pte_valid[16],reg1_t
pi,235,235,1,regs,TLB_regs_t,regs.entry_pte_valid[17],reg1_t
pi,236,236,1,regs,TLB_regs_t,regs.entry_pte_valid[18],reg1_t
pi,237,237,1,regs,TLB_regs_t,regs.entry_pte_valid[19],reg1_t
pi,238,238,1,regs,TLB_regs_t,regs.entry_pte_valid[20],reg1_t
pi,239,239,1,regs,TLB_regs_t,regs.entry_pte_valid[21],reg1_t
pi,240,240,1,regs,TLB_regs_t,regs.entry_pte_valid[22],reg1_t
pi,241,241,1,regs,TLB_regs_t,regs.entry_pte_valid[23],reg1_t
pi,242,242,1,regs,TLB_regs_t,regs.entry_pte_valid[24],reg1_t
pi,243,243,1,regs,TLB_regs_t,regs.entry_pte_valid[25],reg1_t
pi,244,244,1,regs,TLB_regs_t,regs.entry_pte_valid[26],reg1_t
pi,245,245,1,regs,TLB_regs_t,regs.entry_pte_valid[27],reg1_t
pi,246,246,1,regs,TLB_regs_t,regs.entry_pte_valid[28],reg1_t
pi,247,247,1,regs,TLB_regs_t,regs.entry_pte_valid[29],reg1_t
pi,248,248,1,regs,TLB_regs_t,regs.entry_pte_valid[30],reg1_t
pi,249,249,1,regs,TLB_regs_t,regs.entry_pte_valid[31],reg1_t
pi,250,259,10,regs,TLB_regs_t,regs.entry_vpn1[0],reg10_t
pi,260,269,10,regs,TLB_regs_t,regs.entry_vpn1[1],reg10_t
pi,270,279,10,regs,TLB_regs_t,regs.entry_vpn1[2],reg10_t
pi,280,289,10,regs,TLB_regs_t,regs.entry_vpn1[3],reg10_t
pi,290,299,10,regs,TLB_regs_t,regs.entry_vpn1[4],reg10_t
pi,300,309,10,regs,TLB_regs_t,regs.entry_vpn1[5],reg10_t
pi,310,319,10,regs,TLB_regs_t,regs.entry_vpn1[6],reg10_t
pi,320,329,10,regs,TLB_regs_t,regs.entry_vpn1[7],reg10_t
pi,330,339,10,regs,TLB_regs_t,regs.entry_vpn1[8],reg10_t
pi,340,349,10,regs,TLB_regs_t,regs.entry_vpn1[9],reg10_t
pi,350,359,10,regs,TLB_regs_t,regs.entry_vpn1[10],reg10_t
pi,360,369,10,regs,TLB_regs_t,regs.entry_vpn1[11],reg10_t
pi,370,379,10,regs,TLB_regs_t,regs.entry_vpn1[12],reg10_t
pi,380,389,10,regs,TLB_regs_t,regs.entry_vpn1[13],reg10_t
pi,390,399,10,regs,TLB_regs_t,regs.entry_vpn1[14],reg10_t
pi,400,409,10,regs,TLB_regs_t,regs.entry_vpn1[15],reg10_t
pi,410,419,10,regs,TLB_regs_t,regs.entry_vpn1[16],reg10_t
pi,420,429,10,regs,TLB_regs_t,regs.entry_vpn1[17],reg10_t
pi,430,439,10,regs,TLB_regs_t,regs.entry_vpn1[18],reg10_t
pi,440,449,10,regs,TLB_regs_t,regs.entry_vpn1[19],reg10_t
pi,450,459,10,regs,TLB_regs_t,regs.entry_vpn1[20],reg10_t
pi,460,469,10,regs,TLB_regs_t,regs.entry_vpn1[21],reg10_t
pi,470,479,10,regs,TLB_regs_t,regs.entry_vpn1[22],reg10_t
pi,480,489,10,regs,TLB_regs_t,regs.entry_vpn1[23],reg10_t
pi,490,499,10,regs,TLB_regs_t,regs.entry_vpn1[24],reg10_t
pi,500,509,10,regs,TLB_regs_t,regs.entry_vpn1[25],reg10_t
pi,510,519,10,regs,TLB_regs_t,regs.entry_vpn1[26],reg10_t
pi,520,529,10,regs,TLB_regs_t,regs.entry_vpn1[27],reg10_t
pi,530,539,10,regs,TLB_regs_t,regs.entry_vpn1[28],reg10_t
pi,540,549,10,regs,TLB_regs_t,regs.entry_vpn1[29],reg10_t
pi,550,559,10,regs,TLB_regs_t,regs.entry_vpn1[30],reg10_t
