vector,bit_lsb,bit_msb,width,wrapper_field,struct_name,signal,type_name
po,0,0,1,out,TLB_out_t,out.ifu_req_ready,wire1_t
po,1,1,1,out,TLB_out_t,out.lsu_req_ready[0],wire1_t
po,2,2,1,out,TLB_out_t,out.lsu_req_ready[1],wire1_t
po,3,3,1,out,TLB_out_t,out.lsu_req_ready[2],wire1_t
po,4,4,1,out,TLB_out_t,out.lsu_req_ready[3],wire1_t
po,5,5,1,out,TLB_out_t,out.ifu_resp_valid,wire1_t
po,6,6,1,out,TLB_out_t,out.ifu_resp_hit,wire1_t
po,7,12,6,out,TLB_out_t,out.ifu_resp_hit_index,wire6_t
po,13,22,10,out,TLB_out_t,out.ifu_resp_vpn1,wire10_t
po,23,32,10,out,TLB_out_t,out.ifu_resp_vpn0,wire10_t
po,33,44,12,out,TLB_out_t,out.ifu_resp_ppn1,wire12_t
po,45,54,10,out,TLB_out_t,out.ifu_resp_ppn0,wire10_t
po,55,63,9,out,TLB_out_t,out.ifu_resp_asid,wire9_t
po,64,64,1,out,TLB_out_t,out.ifu_resp_megapage,wire1_t
po,65,65,1,out,TLB_out_t,out.ifu_resp_dirty,wire1_t
po,66,66,1,out,TLB_out_t,out.ifu_resp_accessed,wire1_t
po,67,67,1,out,TLB_out_t,out.ifu_resp_global,wire1_t
po,68,68,1,out,TLB_out_t,out.ifu_resp_user,wire1_t
po,69,69,1,out,TLB_out_t,out.ifu_resp_execute,wire1_t
po,70,70,1,out,TLB_out_t,out.ifu_resp_write,wire1_t
po,71,71,1,out,TLB_out_t,out.ifu_resp_read,wire1_t
po,72,72,1,out,TLB_out_t,out.ifu_resp_valid_bit,wire1_t
po,73,73,1,out,TLB_out_t,out.ifu_resp_pte_valid,wire1_t
po,74,74,1,out,TLB_out_t,out.lsu_resp_valid[0],wire1_t
po,75,75,1,out,TLB_out_t,out.lsu_resp_valid[1],wire1_t
po,76,76,1,out,TLB_out_t,out.lsu_resp_valid[2],wire1_t
po,77,77,1,out,TLB_out_t,out.lsu_resp_valid[3],wire1_t
po,78,78,1,out,TLB_out_t,out.lsu_resp_hit[0],wire1_t
po,79,79,1,out,TLB_out_t,out.lsu_resp_hit[1],wire1_t
po,80,80,1,out,TLB_out_t,out.lsu_resp_hit[2],wire1_t
po,81,81,1,out,TLB_out_t,out.lsu_resp_hit[3],wire1_t
po,82,87,6,out,TLB_out_t,out.lsu_resp_hit_index[0],wire6_t
po,88,93,6,out,TLB_out_t,out.lsu_resp_hit_index[1],wire6_t
po,94,99,6,out,TLB_out_t,out.lsu_resp_hit_index[2],wire6_t
po,100,105,6,out,TLB_out_t,out.lsu_resp_hit_index[3],wire6_t
po,106,115,10,out,TLB_out_t,out.lsu_resp_vpn1[0],wire10_t
po,116,125,10,out,TLB_out_t,out.lsu_resp_vpn1[1],wire10_t
po,126,135,10,out,TLB_out_t,out.lsu_resp_vpn1[2],wire10_t
po,136,145,10,out,TLB_out_t,out.lsu_resp_vpn1[3],wire10_t
po,146,155,10,out,TLB_out_t,out.lsu_resp_vpn0[0],wire10_t
po,156,165,10,out,TLB_out_t,out.lsu_resp_vpn0[1],wire10_t
po,166,175,10,out,TLB_out_t,out.lsu_resp_vpn0[2],wire10_t
po,176,185,10,out,TLB_out_t,out.lsu_resp_vpn0[3],wire10_t
po,186,197,12,out,TLB_out_t,out.lsu_resp_ppn1[0],wire12_t
po,198,209,12,out,TLB_out_t,out.lsu_resp_ppn1[1],wire12_t
po,210,221,12,out,TLB_out_t,out.lsu_resp_ppn1[2],wire12_t
po,222,233,12,out,TLB_out_t,out.lsu_resp_ppn1[3],wire12_t
po,234,243,10,out,TLB_out_t,out.lsu_resp_ppn0[0],wire10_t
po,244,253,10,out,TLB_out_t,out.lsu_resp_ppn0[1],wire10_t
po,254,263,10,out,TLB_out_t,out.lsu_resp_ppn0[2],wire10_t
po,264,273,10,out,TLB_out_t,out.lsu_resp_ppn0[3],wire10_t
po,274,282,9,out,TLB_out_t,out.lsu_resp_asid[0],wire9_t
po,283,291,9,out,TLB_out_t,out.lsu_resp_asid[1],wire9_t
po,292,300,9,out,TLB_out_t,out.lsu_resp_asid[2],wire9_t
po,301,309,9,out,TLB_out_t,out.lsu_resp_asid[3],wire9_t
po,310,310,1,out,TLB_out_t,out.lsu_resp_megapage[0],wire1_t
po,311,311,1,out,TLB_out_t,out.lsu_resp_megapage[1],wire1_t
po,312,312,1,out,TLB_out_t,out.lsu_resp_megapage[2],wire1_t
po,313,313,1,out,TLB_out_t,out.lsu_resp_megapage[3],wire1_t
po,314,314,1,out,TLB_out_t,out.lsu_resp_dirty[0],wire1_t
po,315,315,1,out,TLB_out_t,out.lsu_resp_dirty[1],wire1_t
po,316,316,1,out,TLB_out_t,out.lsu_resp_dirty[2],wire1_t
po,317,317,1,out,TLB_out_t,out.lsu_resp_dirty[3],wire1_t
po,318,318,1,out,TLB_out_t,out.lsu_resp_accessed[0],wire1_t
po,319,319,1,out,TLB_out_t,out.lsu_resp_accessed[1],wire1_t
po,320,320,1,out,TLB_out_t,out.lsu_resp_accessed[2],wire1_t
po,321,321,1,out,TLB_out_t,out.lsu_resp_accessed[3],wire1_t
po,322,322,1,out,TLB_out_t,out.lsu_resp_global[0],wire1_t
po,323,323,1,out,TLB_out_t,out.lsu_resp_global[1],wire1_t
po,324,324,1,out,TLB_out_t,out.lsu_resp_global[2],wire1_t
po,325,325,1,out,TLB_out_t,out.lsu_resp_global[3],wire1_t
po,326,326,1,out,TLB_out_t,out.lsu_resp_user[0],wire1_t
po,327,327,1,out,TLB_out_t,out.lsu_resp_user[1],wire1_t
po,328,328,1,out,TLB_out_t,out.lsu_resp_user[2],wire1_t
po,329,329,1,out,TLB_out_t,out.lsu_resp_user[3],wire1_t
po,330,330,1,out,TLB_out_t,out.lsu_resp_execute[0],wire1_t
po,331,331,1,out,TLB_out_t,out.lsu_resp_execute[1],wire1_t
po,332,332,1,out,TLB_out_t,out.lsu_resp_execute[2],wire1_t
po,333,333,1,out,TLB_out_t,out.lsu_resp_execute[3],wire1_t
po,334,334,1,out,TLB_out_t,out.lsu_resp_write[0],wire1_t
po,335,335,1,out,TLB_out_t,out.lsu_resp_write[1],wire1_t
po,336,336,1,out,TLB_out_t,out.lsu_resp_write[2],wire1_t
po,337,337,1,out,TLB_out_t,out.lsu_resp_write[3],wire1_t
po,338,338,1,out,TLB_out_t,out.lsu_resp_read[0],wire1_t
po,339,339,1,out,TLB_out_t,out.lsu_resp_read[1],wire1_t
po,340,340,1,out,TLB_out_t,out.lsu_resp_read[2],wire1_t
po,341,341,1,out,TLB_out_t,out.lsu_resp_read[3],wire1_t
po,342,342,1,out,TLB_out_t,out.lsu_resp_valid_bit[0],wire1_t
po,343,343,1,out,TLB_out_t,out.lsu_resp_valid_bit[1],wire1_t
po,344,344,1,out,TLB_out_t,out.lsu_resp_valid_bit[2],wire1_t
po,345,345,1,out,TLB_out_t,out.lsu_resp_valid_bit[3],wire1_t
po,346,346,1,out,TLB_out_t,out.lsu_resp_pte_valid[0],wire1_t
po,347,347,1,out,TLB_out_t,out.lsu_resp_pte_valid[1],wire1_t
po,348,348,1,out,TLB_out_t,out.lsu_resp_pte_valid[2],wire1_t
po,349,349,1,out,TLB_out_t,out.lsu_resp_pte_valid[3],wire1_t
po,350,350,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[0],reg1_t
po,351,351,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[1],reg1_t
po,352,352,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[2],reg1_t
po,353,353,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[3],reg1_t
po,354,354,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[4],reg1_t
po,355,355,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[5],reg1_t
po,356,356,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[6],reg1_t
po,357,357,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[7],reg1_t
po,358,358,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[8],reg1_t
po,359,359,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[9],reg1_t
po,360,360,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[10],reg1_t
po,361,361,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[11],reg1_t
po,362,362,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[12],reg1_t
po,363,363,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[13],reg1_t
po,364,364,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[14],reg1_t
po,365,365,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[15],reg1_t
po,366,366,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[16],reg1_t
po,367,367,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[17],reg1_t
po,368,368,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[18],reg1_t
po,369,369,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[19],reg1_t
po,370,370,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[20],reg1_t
po,371,371,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[21],reg1_t
po,372,372,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[22],reg1_t
po,373,373,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[23],reg1_t
po,374,374,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[24],reg1_t
po,375,375,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[25],reg1_t
po,376,376,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[26],reg1_t
po,377,377,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[27],reg1_t
po,378,378,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[28],reg1_t
po,379,379,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[29],reg1_t
po,380,380,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[30],reg1_t
po,381,381,1,reg_write,TLB_regs_t,reg_write.entry_pte_valid[31],reg1_t
po,382,391,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[0],reg10_t
po,392,401,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[1],reg10_t
po,402,411,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[2],reg10_t
po,412,421,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[3],reg10_t
po,422,431,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[4],reg10_t
po,432,441,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[5],reg10_t
po,442,451,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[6],reg10_t
po,452,461,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[7],reg10_t
po,462,471,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[8],reg10_t
po,472,481,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[9],reg10_t
po,482,491,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[10],reg10_t
po,492,501,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[11],reg10_t
po,502,511,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[12],reg10_t
po,512,521,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[13],reg10_t
po,522,531,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[14],reg10_t
po,532,541,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[15],reg10_t
po,542,551,10,reg_write,TLB_regs_t,reg_write.entry_vpn1[16],reg10_t
